gene,accession,pdb,method,resolution,coverage
HRAS,P01112,5wfo,x-ray,1.99,1:166 
HRAS,P01112,5wfp,x-ray,2.08,1:166 
HRAS,P01112,5wfq,x-ray,2.26,1:166 
HRAS,P01112,5wfr,x-ray,2.46,1:166 
HRAS,P01112,5x9s,x-ray,2.5,1:166 
HRAS,P01112,6axg,x-ray,3.3,1:26 33:117 122:166 1:24 30:118 1:25 30:116 34:118 
HRAS,P01112,6bvi,x-ray,1.75,1:50 
HRAS,P01112,6bvj,x-ray,1.75,1:50 52:166 
HRAS,P01112,6bvk,x-ray,1.8,1:50 
HRAS,P01112,6bvl,x-ray,1.75,1:50 
HRAS,P01112,6bvm,x-ray,1.8,1:50 
HRAS,P01112,6cuo,x-ray,1.73,1:50 
HRAS,P01112,6cup,x-ray,1.83,1:50 
HRAS,P01112,6cur,x-ray,1.73,1:50 
HRAS,P01112,6d55,x-ray,1.68,1:50 
HRAS,P01112,6d56,x-ray,1.68,1:50 
HRAS,P01112,6d59,x-ray,1.7,1:50 
HRAS,P01112,6d5e,x-ray,1.75,1:50 
HRAS,P01112,6d5g,x-ray,1.92,1:50 
HRAS,P01112,6d5h,x-ray,1.8,1:50 
HRAS,P01112,6d5j,x-ray,1.75,1:50 
HRAS,P01112,6d5l,x-ray,1.7,1:50 
HRAS,P01112,6dzh,x-ray,1.95,37:166 72:166 39:64 69:166 
HRAS,P01112,6e6c,x-ray,1.9,63:166 
HRAS,P01112,6e6p,x-ray,1.93,67:166 69:166 
HRAS,P01112,6q21,x-ray,1.95,1:171 
HRAS,P01112,6v94,x-ray,1.8,1:50 
HRAS,P01112,6v9f,x-ray,1.85,1:50 
HRAS,P01112,6v9j,x-ray,1.76,1:50 
HRAS,P01112,6v9l,x-ray,1.7,1:50 
HRAS,P01112,6v9m,x-ray,1.65,1:50 
HRAS,P01112,6v9n,x-ray,1.65,1:50 
HRAS,P01112,6v9o,x-ray,1.8,1:50 
HRAS,P01112,6zj0,x-ray,1.76,66:166 
HRAS,P01112,6zl3,x-ray,2.03,1:61 65:166 
HRAS,P01112,7dph,x-ray,1.54,70:166 
HRAS,P01112,7l0f,x-ray,1.98,1:166 
