gene,accession,pdb,method,resolution,coverage
AURKA,O14965,3w18,x-ray,2.5,126:143 146:172 180:273 291:303 307:388 126:170 182:277 
AURKA,O14965,3w2c,x-ray,2.45,128:168 181:247 257:274 292:302 310:335 338:368 380:388 258:274 
AURKA,O14965,4b0g,x-ray,2.5,126:169 174:279 292:302 306:391 
AURKA,O14965,4bn1,x-ray,2.5,289:388 
AURKA,O14965,4byi,x-ray,2.6,126:281 291:388 
AURKA,O14965,4byj,x-ray,2.75,126:274 292:388 
AURKA,O14965,4c3p,x-ray,2.69,125:388 125:282 289:390 
AURKA,O14965,4c3r,x-ray,2.79,127:280 291:388 
AURKA,O14965,4ceg,x-ray,2.1,127:287 
AURKA,O14965,4dhf,x-ray,2.8,128:285 290:389 
AURKA,O14965,4j8m,x-ray,1.85,125:246 
AURKA,O14965,4jai,x-ray,3.2,126:275 292:390 
AURKA,O14965,4jaj,x-ray,2.7,125:389 
AURKA,O14965,4jbp,x-ray,2.45,126:280 291:390 
AURKA,O14965,4jbq,x-ray,2.3,126:280 290:391 
AURKA,O14965,4o0s,x-ray,2.5,126:286 288:391 
AURKA,O14965,4o0u,x-ray,2.6,288:391 
AURKA,O14965,4o0w,x-ray,2.6,289:391 
AURKA,O14965,4prj,x-ray,2.8,125:142 
AURKA,O14965,4uyn,x-ray,1.9,125:171 174:276 293:391 
AURKA,O14965,4uzd,x-ray,3.2,127:276 285:388 125:277 285:389 
AURKA,O14965,4uzh,x-ray,2.0,293:391 
AURKA,O14965,4zs0,x-ray,3.0,127:286 292:388 
AURKA,O14965,4ztq,x-ray,2.8,127:279 291:303 308:388 
AURKA,O14965,4ztr,x-ray,2.85,127:277 291:388 
AURKA,O14965,4zts,x-ray,2.9,127:278 292:388 
AURKA,O14965,5aad,x-ray,3.1,127:281 292:388 
AURKA,O14965,5aae,x-ray,3.11,126:279 291:388 
AURKA,O14965,5aaf,x-ray,2.78,126:281 291:388 
AURKA,O14965,5aag,x-ray,2.85,127:281 291:388 
AURKA,O14965,5dn3,x-ray,2.05,125:287 289:389 
AURKA,O14965,5dnr,x-ray,1.95,126:287 289:390 
AURKA,O14965,5dos,x-ray,2.98,127:284 290:390 
AURKA,O14965,5dpv,x-ray,2.29,127:283 290:389 
AURKA,O14965,5dr6,x-ray,2.53,127:282 290:390 
AURKA,O14965,5dr9,x-ray,2.47,127:282 290:390 
AURKA,O14965,5drd,x-ray,2.13,127:284 290:390 
AURKA,O14965,5dt0,x-ray,2.15,127:284 290:390 
AURKA,O14965,5dt3,x-ray,2.33,127:286 288:390 
AURKA,O14965,5dt4,x-ray,2.86,127:284 290:390 
AURKA,O14965,5ew9,x-ray,2.18,127:280 289:390 
AURKA,O14965,5g15,x-ray,2.06,126:390 
AURKA,O14965,5g1x,x-ray,1.72,127:287 
AURKA,O14965,5l8j,x-ray,1.68,126:278 292:391 
AURKA,O14965,5l8k,x-ray,1.79,126:287 
AURKA,O14965,5l8l,x-ray,1.67,126:287 
AURKA,O14965,5lxm,x-ray,2.08,126:287 6:7 
AURKA,O14965,5obj,x-ray,2.9,127:285 290:390 
AURKA,O14965,5obr,x-ray,2.62,126:280 291:390 
AURKA,O14965,5one,x-ray,2.6,127:280 289:391 
AURKA,O14965,5orl,x-ray,1.69,127:287 
AURKA,O14965,5orn,x-ray,2.19,127:287 
AURKA,O14965,5oro,x-ray,2.12,127:287 
AURKA,O14965,5orp,x-ray,2.19,127:287 
AURKA,O14965,5orr,x-ray,2.09,127:287 
AURKA,O14965,5ors,x-ray,1.98,127:287 
AURKA,O14965,5ort,x-ray,2.56,127:287 
AURKA,O14965,5orv,x-ray,1.88,127:287 
AURKA,O14965,5orw,x-ray,2.0,127:287 
AURKA,O14965,5orx,x-ray,1.88,127:287 
AURKA,O14965,5ory,x-ray,1.99,127:287 
AURKA,O14965,5orz,x-ray,1.92,127:287 
AURKA,O14965,5os0,x-ray,1.74,127:287 
AURKA,O14965,5os1,x-ray,1.9,127:287 
AURKA,O14965,5os2,x-ray,1.92,127:285 
AURKA,O14965,5os3,x-ray,1.81,127:287 
AURKA,O14965,5os4,x-ray,1.88,127:287 
AURKA,O14965,5os5,x-ray,1.74,125:287 
AURKA,O14965,5os6,x-ray,2.2,127:287 
AURKA,O14965,5osd,x-ray,1.99,125:287 
AURKA,O14965,5ose,x-ray,1.9,127:287 
AURKA,O14965,5osf,x-ray,1.89,127:287 
AURKA,O14965,5zan,x-ray,2.85,127:285 291:389 
AURKA,O14965,6c2r,x-ray,1.96,128:279 292:389 
AURKA,O14965,6c2t,x-ray,1.73,128:279 288:388 
AURKA,O14965,6c83,x-ray,2.55,127:275 291:389 291:388 83:84 
AURKA,O14965,6cpe,x-ray,2.45,127:284 292:389 
AURKA,O14965,6cpf,x-ray,2.3,128:284 291:392 
AURKA,O14965,6cpg,x-ray,2.8,127:277 290:387 127:278 289:388 
AURKA,O14965,6gra,x-ray,2.6,126:277 292:389 
AURKA,O14965,6i2u,x-ray,2.5,127:286 289:391 
AURKA,O14965,6r49,x-ray,2.21,127:285 291:391 
AURKA,O14965,6r4a,x-ray,1.94,127:287 
AURKA,O14965,6r4b,x-ray,2.15,127:287 
AURKA,O14965,6r4c,x-ray,2.04,127:287 
AURKA,O14965,6r4d,x-ray,2.01,127:287 
AURKA,O14965,6vpg,x-ray,2.64,124:286 289:389 
AURKA,O14965,6vph,x-ray,2.14,123:246 248:286 291:389 
AURKA,O14965,6vpl,x-ray,1.86,125:282 289:389 
AURKA,O14965,6vpm,x-ray,1.58,125:282 289:389 
AURKA,O14965,6xka,x-ray,2.65,127:280 291:388 
AURKA,O14965,6z4y,x-ray,2.25,124:282 290:389 
AURKA,O14965,7ayh,x-ray,2.8,125:275 292:390 
AURKA,O14965,7ayi,x-ray,2.86,125:275 292:392 
AURKA,O14965,7o2v,x-ray,3.1,117:279 290:390 
